GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
dYCCs66y2ypl,233000,251800,241100,241300,244100,174000,167000,156900,150400,163600
KbnOXPr9ZXzY,59760,64950,63880,68870,62830,6949,4504,4458,4418,4373
oYBk1adIsMIq,357400,352700,369500,372100,333400,137300,131800,138500,142900,137500
hwLqNGnK5PJH,484500,447400,472500,475400,430300,14900,14780,2252,2667,3111
PH4xSmDm2gyi,476700,515200,542700,498700,561700,435400,414900,415700,401100,411600
Id2FUWdQxkWA,56350,57890,66930,63260,62920,24390,21500,21520,20620,24200
Qh5JJlPj33FC,62410,64700,65700,63850,67910,66500,70500,64960,58880,58800
oPn4FwRJsJJw,1420000,1444000,1453000,1516000,1434000,775100,782200,795300,756700,762400
mmtmUUTptqVm,501600,450300,457000,492600,478300,224000,179800,186800,185000,184700
kfSNc87Zkc1Y,3040000,2989000,3243000,3140000,3030000,565100,565900,616500,544200,536900
HfWoSWcCT7ar,544100,534100,578700,526900,482000,113300,93720,107500,87050,85260
kZmjTcQnLWkv,466100,459700,499700,501100,458200,14930,7811,4867,6770,5367
yiyOilr6agad,122700,139400,142200,140800,128100,26910,26380,29470,24700,22630
Zy02T0HCbIVE,76680,74760,90440,90970,86410,4018,5965,2046,2960,2969
RJrwQxPGoq4r,399900,369200,392300,374000,383200,121200,103200,108900,99270,106800
4aIVtsiwXUdH,107300,108100,117500,115500,102700,38260,35650,37320,35720,33400
YDm0qOpf4BQU,30270,35490,38010,34650,42230,8705,9393,8373,8739,8416
SQuzzOWRht58,277200,299000,320800,313700,306800,82950,65420,67220,56760,66630
tnX9C54gGHFH,1130000,1124000,1172000,1232000,1131000,446700,429900,378300,441500,432600
zso2XGVn6Zge,66110,60540,64730,61540,63290,11380,11010,7403,8296,7539
kZI3mTCpMywe,221100,207500,220500,225800,204000,22030,20040,17380,14500,15680
ODXyvAE4tIWb,469400,431000,438000,460700,414900,102400,89770,81060,80850,90070
ayfDOh5zloVb,521800,512800,553400,572900,534500,228700,266100,245600,234000,227200
y5GQtIYMAyZ9,33070,33740,34690,37050,34420,19190,19280,16720,18960,15430
1qflj1LskdiP,385400,388000,394200,412300,379000,19460,17970,13800,11020,13300
ClT8u34vrCKL,43790,41330,43390,43280,41780,19250,21660,21100,21250,21390
olrYCeMDGDt9,168100,148700,180000,182500,167800,108800,95810,110100,108200,119300
YoMwKGkZVnF3,261400,269100,289800,281200,283100,76940,68720,59430,54250,60680
B3BAU9wRYpJI,93390,92770,91860,94220,92240,49030,53210,52710,50320,57630
rGRKxGtxTqi9,90530,91380,82880,88960,86950,23050,22450,23960,26490,19610
XvjTDNSc6cvj,490100,481100,502400,496000,452300,86580,102100,98420,89680,88590
2Zek9eQw2Rku,227400,227400,222000,230800,226800,47650,54260,46730,42590,45060
hUwr5cRLTaNh,312800,308900,309100,279500,283200,19680,20520,16860,14280,16620
DMqqO9G4q6H8,57230,54700,61890,68300,59020,30060,28500,28690,29800,30620
vEHxzMC8rQ7Q,7185,6325,5517,7905,6374,3929,3214,4555,5163,4174
CLnJYVg1Soqh,53870,63840,62730,57920,64230,15710,17020,16290,14940,16180
1JSh2GmgoOVu,95880,101000,96070,97120,99110,53040,51160,49610,51520,46670
eaXQNURQfA03,88890,89070,95150,95100,83910,35720,32010,35990,28830,31700
Uea2h4KrY4eE,95070,87110,92290,91100,85780,4964,3803,1427,1383,3767
47fKp8ekLiI8,484500,452100,485400,521500,453400,97390,98800,100700,102900,95190
qIYYkr2K3qUp,319400,300800,310400,324300,295300,10110,12490,3024,2728,4928
UtBlIMAxgzmD,48030,52490,53240,52620,52540,12430,14230,11980,12290,11540
AxNQVa8GPaVA,74060,72430,72720,78830,73180,10740,12690,10470,9177,7036
KceX3iLlA0uo,107300,107400,104600,119800,114700,60460,58120,59620,49930,59100
zHzTjV337zMO,35480,47270,48340,38190,44180,3161,4332,3417,5515,2288
